question_id,question_name,parent_question,poll_name
7880,"""First haircuts"" (pre-teen)",Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6860,*Are there methods of permanently tabling or resolving debates amongst groups of interpreters?,Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting scriptures?,Religious Text (v0.1)
6943,"*Are there other substances (such as food or drink, for example) that are consumed during rituals?",Is the text in question employed in ritual practice?,Religious Text (v0.1)
7562,*Are there specific relationships to teachers that are advocated by the text?,,Religious Text (v0.1)
7563,*Are there worldly rewards/benefits to education according to the text specified by the text itself?,,Religious Text (v0.1)
7561,*Does the text specify teaching relationships or ratios? (i.e.: 1:20; 1:1),,Religious Text (v0.1)
7560,*Is education gendered with respect to this text and larger textual tradition?,,Religious Text (v0.1)
6623,Adults,Are there human sacrifices:,Religious Place (v1.2)
7831,Age of extant version of text?,"Among debates about proper versions of the text, how is authority established?",Religious Text (v1.0)
6986,Age of extant version of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v0.1)
7826,Age of extant version of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v1.0)
7655,Alpha-numeric symbolism?,Is the area where the text is stored accompanied by an-iconic images?,Religious Text (v1.0)
7830,"Among debates about proper versions of the text, how is authority established?",Is there debate about which version is proper?,Religious Text (v1.0)
6869,Archaic ritual language?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7709,Archaic ritual language?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
7707,Are additional commentaries part of the cannon as it is currently understood?,Is there a codified canon of scriptures?,Religious Text (v1.0)
7925,Are debates framed in other ways?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
6984,Are multiple versions viewed as proper?,Are there multiple versions of the text?,Religious Text (v0.1)
7824,Are multiple versions viewed as proper?,Are there multiple versions of the text?,Religious Text (v1.0)
6878,Are oral traditions used to support the religious study of the text?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7718,Are oral traditions used to support the religious study of the text?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
7277,Are other categories of beings present?,,Religious Text (v0.1)
8117,Are other categories of beings present?,,Religious Text (v1.0)
6823,Are political officials and religious officials otherwise overlapping institutional networks?,Is the production of the text funded by the polity?,Religious Text (v0.1)
7663,Are political officials and religious officials otherwise overlapping institutional networks?,Is the production of the text funded by the polity?,Religious Text (v1.0)
7748,Are rewards for missionary work promised by the text for all adherents?,Are there specific rewards for proselytizing according to the text?,Religious Text (v1.0)
7747,Are rewards for missionary work promised by the text for religious professionals?,Are there specific rewards for proselytizing according to the text?,Religious Text (v1.0)
7746,Are rewards for proselytizing promised by the text for all adherents?,Are there specific rewards for proselytizing according to the text?,Religious Text (v1.0)
7745,Are rewards for proselytizing promised by the text for religious professionals?,Are there specific rewards for proselytizing according to the text?,Religious Text (v1.0)
7860,Are there any established institutionalized rewards specified in the text?,Are there formal institutions merged with the state or polity of the religious group?,Religious Text (v1.0)
6920,Are there clear reformist movements?,,Religious Text (v0.1)
7760,Are there clear reformist movements?,,Religious Text (v1.0)
6859,Are there common disagreements? (such as two or more different schools of interpretation?),Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting scriptures?,Religious Text (v0.1)
7699,Are there common disagreements? (such as two or more different schools of interpretation?),Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting scriptures?,Religious Text (v1.0)
6966,Are there debates about whether or not altering the materiality of the text is acceptable?,Is there material significance to the text?,Religious Text (v0.1)
7806,Are there debates about whether or not altering the materiality of the text is acceptable?,Is there material significance to the text?,Religious Text (v1.0)
7555,Are there formal educational institutions specified according to the text?,,Religious Text (v0.1)
8395,Are there formal educational institutions specified according to the text?,,Religious Text (v1.0)
7851,Are there formal institutions merged with the state or polity of the religious group?,Does the text express a formal legal code?,Religious Text (v1.0)
7922,Are there generally positive or negative associations with aggregates?,Within conceptions of the mind: are there distinct notions of pyschological states or aggregates?,Religious Text (v1.0)
7006,Are there lineages or a single lineage established by the text?,,Religious Text (v0.1)
7846,Are there lineages or a single lineage established by the text?,,Religious Text (v1.0)
6970,Are there material substantance that commonly accompany the text?,Is there material significance to the text?,Religious Text (v0.1)
7810,Are there material substantance that commonly accompany the text?,Is there material significance to the text?,Religious Text (v1.0)
7700,Are there methods of permanently tabling or resolving debates amongst groups of interpreters?,Are there formal institutions (i.e. institutions that are authorized by the religious community or political leaders) for interpreting scriptures?,Religious Text (v1.0)
6983,Are there multiple versions of the text?,,Religious Text (v0.1)
7823,Are there multiple versions of the text?,,Religious Text (v1.0)
7871,"Are there non-institutionalized ""acceptable"" social punishments specified?",Are there formal institutions merged with the state or polity of the religious group?,Religious Text (v1.0)
7872,"Are there non-institutionalized ""acceptable"" social rewards specified?",Are there formal institutions merged with the state or polity of the religious group?,Religious Text (v1.0)
8036,Are there notions of inspiration or inspired knowledge?,Does the text make communication with supreme high-god possible?,Religious Text (v1.0)
7927,Are there other sides or features of the debate?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
7783,"Are there other substances (such as food or drink, for example) that are consumed during rituals?",Is the text in question employed in ritual practice?,Religious Text (v1.0)
8375,Are there particular smells associated with material offerings?,Are there material offerings present?,Religious Text (v1.0)
8376,"Are there particular visual stimuli (colors, symbols) associated with the offerings? (I.e. 'must be bright' 'must include red')",Are there material offerings present?,Religious Text (v1.0)
7142,Are there practices that have funerary associations presented in the text?,,Religious Text (v0.1)
7982,Are there practices that have funerary associations presented in the text?,,Religious Text (v1.0)
8037,Are there rituals required to attain inspired knowledge?,Does the text make communication with supreme high-god possible?,Religious Text (v1.0)
7958,Are there specific designations for parts of corpses?,Are there special treatments for adherents' corpses dicated in the text?,Religious Text (v1.0)
7549,Are there specific elements of society involved with the destruction of the text?,,Religious Text (v0.1)
8389,Are there specific elements of society involved with the destruction of the text?,,Religious Text (v1.0)
7548,Are there specific elements of society that have controlled the reproduction of the text?,,Religious Text (v0.1)
8388,Are there specific elements of society that have controlled the reproduction of the text?,,Religious Text (v1.0)
8402,Are there specific relationships to teachers that are advocated by the text?,,Religious Text (v1.0)
7744,Are there specific rewards for proselytizing according to the text?,Does the Religious group actively proselytize and recruit new members?,Religious Text (v1.0)
8403,Are there worldly rewards/benefits to education according to the text specified by the text itself?,,Religious Text (v1.0)
6409,Are they read aloud:,Are the scriptures actively used at the place:,Religious Place (v1.2)
6412,Are they recopied:,Are the scriptures actively used at the place:,Religious Place (v1.2)
6411,Are they studied:,Are the scriptures actively used at the place:,Religious Place (v1.2)
7003,Behavioral literature?,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v0.1)
7843,Behavioral literature?,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v1.0)
6872,Blended languages/creolizations/specific dialects?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7712,Blended languages/creolizations/specific dialects?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
5276,Body present:,Is it a cenotaph:,Religious Place (v1)
6382,Body present:,Is it a cenotaph:,Religious Place (v1.2)
6794,Boundary markers or lines,Is the text stored in a specific location?,Religious Text (v0.1)
7634,Boundary markers or lines,Is the text stored in a specific location?,Religious Text (v1.0)
6406,Built specifically for the purpose:,Where are the scriptures/sacred texts located in secondary building:,Religious Place (v1.2)
7814,Burnt offering?,Are there material substantance that commonly accompany the text?,Religious Text (v1.0)
6977,Calligraphy?,Is the text itself accompanied by art?,Religious Text (v0.1)
7817,Calligraphy?,Is the text itself accompanied by art?,Religious Text (v1.0)
8020,Can be hurt?,A supreme high-god is present,Religious Text (v1.0)
8022,Can be imprisoned?,A supreme high-god is present,Religious Text (v1.0)
8021,Can be tricked?,A supreme high-god is present,Religious Text (v1.0)
6947,Can it be touched?,Is there material significance to the text?,Religious Text (v0.1)
7787,Can it be touched?,Is there material significance to the text?,Religious Text (v1.0)
7792,Can it be unhidden or unlocked?,Is the knowledge hidden?,Religious Text (v1.0)
6889,Can scholarly and emic notions of the audience differ?,What is the estimated number of people considered to be the audience of the text,Religious Text (v0.1)
7729,Can scholarly and emic notions of the audience differ?,What is the estimated number of people considered to be the audience of the text,Religious Text (v1.0)
7706,Can the canon be altered or added to?,Is there a codified canon of scriptures?,Religious Text (v1.0)
7837,Can the canon be altered or added to?,Is there a sense of canonization?,Religious Text (v1.0)
6791,Cave(s),Is the text stored in a specific location?,Religious Text (v0.1)
7631,Cave(s),Is the text stored in a specific location?,Religious Text (v1.0)
7881,Ceremonies marking puberty/entry into adulthood?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6625,Children,Are there human sacrifices:,Religious Place (v1.2)
6785,Church,Is the text stored in a specific location?,Religious Text (v0.1)
7625,Church,Is the text stored in a specific location?,Religious Text (v1.0)
7610,Clay object,Medium upon which the text is written/incised,Religious Text (v1.0)
7605,Color or black,Methods of Composition,Religious Text (v1.0)
7518,Comedy?,Does the text include elements that are intended to be entertaining?,Religious Text (v0.1)
8358,Comedy?,Does the text include elements that are intended to be entertaining?,Religious Text (v1.0)
7913,Communal elders,Is feasting sponsored by the same entity that produced the text/copies of the text?,Religious Text (v1.0)
6870,Considered endogenous by the group itself?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7710,Considered endogenous by the group itself?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
6871,Considered exogenous by the group itself?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7711,Considered exogenous by the group itself?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
7832,Content of text?,"Among debates about proper versions of the text, how is authority established?",Religious Text (v1.0)
6987,Content of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v0.1)
7827,Content of text?,"If multiple versions are proper, is there a differentiation among versions by any means?",Religious Text (v1.0)
7959,Could parts of corpses become transformed into partial bodily relics?,Are there special treatments for adherents' corpses dicated in the text?,Religious Text (v1.0)
7002,Cultural with religious implications?,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v0.1)
7842,Cultural with religious implications?,"If the text is not explicitly scripture, is it part of another important literary tradition?",Religious Text (v1.0)
7884,Divorce?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7926,Do practitioners distinguish between a corporeal body and an incorporeal soul or spirit?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
7924,Do practitioners engage in debates about mind-body dualism?,Is a spirit-body distinction present in the text?,Religious Text (v1.0)
6855,Do the practitioners generally consider the scripture open to alteration?,Are the scriptures alterable?,Religious Text (v0.1)
7695,Do the practitioners generally consider the scripture open to alteration?,Are the scriptures alterable?,Religious Text (v1.0)
7757,Does proselytization take place regardless of the fact that the text is silent on the matter?,Is the text silent on matters of proselytization?,Religious Text (v1.0)
7759,Does proselytization take replace regardless of sanctions on such activities by the text?,Is proselytizing forbidden or restricted by the text?,Religious Text (v1.0)
6925,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the audience of the recitation?,Religious Text (v0.1)
6932,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the audience of the recitation?,Religious Text (v0.1)
7765,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the audience of the recitation?,Religious Text (v1.0)
7772,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the audience of the recitation?,Religious Text (v1.0)
6930,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the reader of the text?,Religious Text (v0.1)
7770,Does the affect involve unlocking hidden knowledge?,Is there any particular affect on the reader of the text?,Religious Text (v1.0)
6927,Does the affect involve unlocking hidden knowledge?,On the reciter?,Religious Text (v0.1)
7767,Does the affect involve unlocking hidden knowledge?,On the reciter?,Religious Text (v1.0)
7875,Does the calendar specifically dictate acceptable times for certain activities?,Formulating a specifically religious calendar?,Religious Text (v1.0)
7869,Does the code apply to gender specific contexts?,"Does the text express authority of ethical guidelines? (E.g.: adat literature that dictates or records ""customary practices"")",Religious Text (v1.0)
7847,Does the lineage involve establish a chain of authority?,Are there lineages or a single lineage established by the text?,Religious Text (v1.0)
6949,Does the material significance have an esoteric function?,Is there material significance to the text?,Religious Text (v0.1)
7789,Does the material significance have an esoteric function?,Is there material significance to the text?,Religious Text (v1.0)
7866,"Does the text express authority of ethical guidelines? (E.g.: adat literature that dictates or records ""customary practices"")",Are there formal institutions merged with the state or polity of the religious group?,Religious Text (v1.0)
7516,Does the text include elements that are intended to be entertaining?,,Religious Text (v0.1)
8356,Does the text include elements that are intended to be entertaining?,,Religious Text (v1.0)
7556,Does the text make provisions for non-religious education?,,Religious Text (v0.1)
8396,Does the text make provisions for non-religious education?,,Religious Text (v1.0)
7584,Does the text mention warfare?,,Religious Text (v0.1)
8424,Does the text mention warfare?,,Religious Text (v1.0)
7592,Does the text mentioned food production/disbursement?,,Religious Text (v0.1)
8432,Does the text mentioned food production/disbursement?,,Religious Text (v1.0)
7558,Does the text restrict education among religious professionals?,,Religious Text (v0.1)
8398,Does the text restrict education among religious professionals?,,Religious Text (v1.0)
6956,Does the text serve a protective function?,Is there material significance to the text?,Religious Text (v0.1)
7796,Does the text serve a protective function?,Is there material significance to the text?,Religious Text (v1.0)
6963,Does the text serve as an incantation?,Is there material significance to the text?,Religious Text (v0.1)
7803,Does the text serve as an incantation?,Is there material significance to the text?,Religious Text (v1.0)
7580,Does the text specify forms of taxation?,,Religious Text (v0.1)
8420,Does the text specify forms of taxation?,,Religious Text (v1.0)
7521,"Does the text specify sacrifices, offerings, and maintenance of a sacred space?",,Religious Text (v0.1)
8361,"Does the text specify sacrifices, offerings, and maintenance of a sacred space?",,Religious Text (v1.0)
8401,Does the text specify teaching relationships or ratios? (i.e.: 1:20; 1:1),,Religious Text (v1.0)
6948,Does touching the text during ritual have a specific function?,Is there material significance to the text?,Religious Text (v0.1)
7788,Does touching the text during ritual have a specific function?,Is there material significance to the text?,Religious Text (v1.0)
6795,Domestic contexts,Is the text stored in a specific location?,Religious Text (v0.1)
7635,Domestic contexts,Is the text stored in a specific location?,Religious Text (v1.0)
7517,Drama?,Does the text include elements that are intended to be entertaining?,Religious Text (v0.1)
8357,Drama?,Does the text include elements that are intended to be entertaining?,Religious Text (v1.0)
6629,Elites,Are there human sacrifices:,Religious Place (v1.2)
7520,Epic entertainment?,Does the text include elements that are intended to be entertaining?,Religious Text (v0.1)
8360,Epic entertainment?,Does the text include elements that are intended to be entertaining?,Religious Text (v1.0)
7868,Everyday rituals?,"Does the text express authority of ethical guidelines? (E.g.: adat literature that dictates or records ""customary practices"")",Religious Text (v1.0)
7863,Financial rewards?,Are there any established institutionalized rewards specified in the text?,Religious Text (v1.0)
7657,Floral or other natural imagery?,Is the area where the text is stored accompanied by an-iconic images?,Religious Text (v1.0)
7990,For the veneration of a deceased hero?,Do these practices take place for the veneration OR worship of the dead?,Religious Text (v1.0)
7988,For the veneration of a deceased person(s)?,Do these practices take place for the veneration OR worship of the dead?,Religious Text (v1.0)
7989,For the veneration of a deified human?,Do these practices take place for the veneration OR worship of the dead?,Religious Text (v1.0)
6627,Foreigners and/or slaves,Are there human sacrifices:,Religious Place (v1.2)
7889,Frequency of festivals?,Festivals?,Religious Text (v1.0)
5258,Function:,What is the function of the structure/feature or group:,Religious Place (v1)
7886,Funerary services?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7865,Grants of labor?,Are there any established institutionalized rewards specified in the text?,Religious Text (v1.0)
7861,Grants of property?,Are there any established institutionalized rewards specified in the text?,Religious Text (v1.0)
7878,Harvest?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
6964,Has the materiality of the text been altered?,Is there material significance to the text?,Religious Text (v0.1)
7804,Has the materiality of the text been altered?,Is there material significance to the text?,Religious Text (v1.0)
7838,Have major debates shifted the sense of the place of the text with respect to the larger canon?,Is there a sense of canonization?,Religious Text (v1.0)
6792,Hilltops,Is the text stored in a specific location?,Religious Text (v0.1)
7632,Hilltops,Is the text stored in a specific location?,Religious Text (v1.0)
7883,House construction (often a metaphor for marriage)?,Does the calendar specifically dictate acceptable times for certain activities?,Religious Text (v1.0)
7840,How are the volumes ordered?,Is the text part of a series of volumes?,Religious Text (v1.0)
7836,How is the authority established?,Is there a sense of canonization?,Religious Text (v1.0)
7849,How is the lineage established?,Are there lineages or a single lineage established by the text?,Religious Text (v1.0)
6526,How many humans are present:,Human:,Religious Place (v1.2)
6891,How might emic and scholarly (anthropological) assessments of the audience be similar?,Can scholarly and emic notions of the audience differ?,Religious Text (v0.1)
7731,How might emic and scholarly (anthropological) assessments of the audience be similar?,Can scholarly and emic notions of the audience differ?,Religious Text (v1.0)
6890,How might emic and scholarly (anthropological) assessments of the audience differ?,Can scholarly and emic notions of the audience differ?,Religious Text (v0.1)
7730,How might emic and scholarly (anthropological) assessments of the audience differ?,Can scholarly and emic notions of the audience differ?,Religious Text (v1.0)
7923,"If associations with mental aggregates are neither positive or negative, are there other important details to know?",Within conceptions of the mind: are there distinct notions of pyschological states or aggregates?,Religious Text (v1.0)
6875,If known: which authority (authorities) describe(s) the language as sacred?,Written in distinctly religious/sacred language?,Religious Text (v0.1)
7715,If known: which authority (authorities) describe(s) the language as sacred?,Written in distinctly religious/sacred language?,Religious Text (v1.0)
6985,"If multiple versions are proper, is there a differentiation among versions by any means?",Are multiple versions viewed as proper?,Religious Text (v0.1)
7825,"If multiple versions are proper, is there a differentiation among versions by any means?",Are multiple versions viewed as proper?,Religious Text (v1.0)
7001,"If the text is not explicitly scripture, is it part of another important literary tradition?",,Religious Text (v0.1)
7841,"If the text is not explicitly scripture, is it part of another important literary tradition?",,Religious Text (v1.0)
6979,Illuminations?,Is the text itself accompanied by art?,Religious Text (v0.1)
7819,Illuminations?,Is the text itself accompanied by art?,Religious Text (v1.0)
6978,Illustrations?,Is the text itself accompanied by art?,Religious Text (v0.1)
